Year,Destination,Origin,Number,LatDest,LongDest,LatOrigin,LongOrigin
2020,Afghanistan,Gibraltar,0,33.93911,67.709953,36.137741,-5.345374
2020,Afghanistan,Greece,0,33.93911,67.709953,39.074208,21.824312
2020,Afghanistan,Greenland,0,33.93911,67.709953,71.706936,-42.604303
2020,Afghanistan,Grenada,0,33.93911,67.709953,12.262776,-61.604171
2020,Afghanistan,Guadeloupe,0,33.93911,67.709953,16.995971,-62.067641
2020,Afghanistan,Guam,0,33.93911,67.709953,13.444304,144.793731
2020,Afghanistan,Guatemala,0,33.93911,67.709953,15.783471,-90.230759
2020,Afghanistan,Guinea,0,33.93911,67.709953,9.945587,-9.696645
2020,Afghanistan,Guinea-Bissau,0,33.93911,67.709953,11.803749,-15.180413
2020,Afghanistan,Guyana,0,33.93911,67.709953,4.860416,-58.93018
2020,Afghanistan,Haiti,0,33.93911,67.709953,18.971187,-72.285215
2020,Afghanistan,Honduras,0,33.93911,67.709953,15.199999,-86.241905
2020,Afghanistan,Hong Kong,0,33.93911,67.709953,22.396428,114.109497
2020,Afghanistan,Hungary,0,33.93911,67.709953,47.162494,19.503304
2020,Afghanistan,Iceland,0,33.93911,67.709953,64.963051,-19.020835
2020,Afghanistan,India,0,33.93911,67.709953,20.593684,78.96288
2020,Afghanistan,Indonesia,0,33.93911,67.709953,-0.789275,113.921327
2020,Afghanistan,Iran,0,33.93911,67.709953,32.427908,53.688046
2020,Afghanistan,Iraq,0,33.93911,67.709953,33.223191,43.679291
2020,Afghanistan,Ireland,0,33.93911,67.709953,53.41291,-8.24389
2020,Afghanistan,Isle of Man,0,33.93911,67.709953,54.236107,-4.548056
2020,Afghanistan,Israel,0,33.93911,67.709953,31.046051,34.851612
2020,Afghanistan,Italy,0,33.93911,67.709953,41.87194,12.56738
2020,Afghanistan,Jamaica,0,33.93911,67.709953,18.109581,-77.297508
2020,Afghanistan,Japan,0,33.93911,67.709953,36.204824,138.252924
2020,Afghanistan,Jordan,0,33.93911,67.709953,30.585164,36.238414
2020,Afghanistan,Kazakhstan,0,33.93911,67.709953,48.019573,66.923684
2020,Afghanistan,Kenya,0,33.93911,67.709953,-0.023559,37.906193
2020,Afghanistan,Kiribati,0,33.93911,67.709953,-3.370417,-168.734039
2020,Afghanistan,Kuwait,0,33.93911,67.709953,29.31166,47.481766
2020,Afghanistan,Kyrgyzstan,0,33.93911,67.709953,41.20438,74.766098
2020,Afghanistan,Laos,0,33.93911,67.709953,19.85627,102.495496
2020,Afghanistan,Latvia,0,33.93911,67.709953,56.879635,24.603189
2020,Afghanistan,Lebanon,0,33.93911,67.709953,33.854721,35.862285
2020,Afghanistan,Lesotho,0,33.93911,67.709953,-29.609988,28.233608
2020,Afghanistan,Liberia,0,33.93911,67.709953,6.428055,-9.429499
2020,Afghanistan,Libya,0,33.93911,67.709953,26.3351,17.228331
2020,Afghanistan,Liechtenstein,0,33.93911,67.709953,47.166,9.555373
2020,Afghanistan,Lithuania,0,33.93911,67.709953,55.169438,23.881275
2020,Afghanistan,Luxembourg,0,33.93911,67.709953,49.815273,6.129583
2020,Afghanistan,Macao,0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Madagascar,0,33.93911,67.709953,-18.766947,46.869107
2020,Afghanistan,Malawi,0,33.93911,67.709953,-13.254308,34.301525
2020,Afghanistan,Malaysia,0,33.93911,67.709953,4.210484,101.975766
2020,Afghanistan,Maldives,0,33.93911,67.709953,3.202778,73.22068
2020,Afghanistan,Mali,0,33.93911,67.709953,17.570692,-3.996166
2020,Afghanistan,Malta,0,33.93911,67.709953,35.937496,14.375416
2020,Afghanistan,Marshall Islands,0,33.93911,67.709953,7.131474,171.184478
2020,Afghanistan,Martinique,0,33.93911,67.709953,14.641528,-61.024174
2020,Afghanistan,Mauritania,0,33.93911,67.709953,21.00789,-10.940835
2020,Afghanistan,Mauritius,0,33.93911,67.709953,-20.348404,57.552152
2020,Afghanistan,Mayotte,0,33.93911,67.709953,-12.8275,45.166244
2020,Afghanistan,Mexico,0,33.93911,67.709953,23.634501,-102.552784
2020,Afghanistan,Micronesia (country),0,33.93911,67.709953,7.425554,150.550812
2020,Afghanistan,Moldova,0,33.93911,67.709953,47.411631,28.369885
2020,Afghanistan,Monaco,0,33.93911,67.709953,43.750298,7.412841
2020,Afghanistan,Mongolia,0,33.93911,67.709953,46.862496,103.846656
2020,Afghanistan,Montenegro,0,33.93911,67.709953,42.708678,19.37439
2020,Afghanistan,Montserrat,0,33.93911,67.709953,16.742498,-62.187366
2020,Afghanistan,Morocco,0,33.93911,67.709953,31.791702,-7.09262
2020,Afghanistan,Mozambique,0,33.93911,67.709953,-18.665695,35.529562
2020,Afghanistan,Myanmar,0,33.93911,67.709953,21.913965,95.956223
2020,Afghanistan,Namibia,0,33.93911,67.709953,-22.95764,18.49041
2020,Afghanistan,Nauru,0,33.93911,67.709953,-0.522778,166.931503
2020,Afghanistan,Nepal,0,33.93911,67.709953,28.394857,84.124008
2020,Afghanistan,Netherlands,0,33.93911,67.709953,52.132633,5.291266
2020,Afghanistan,New Caledonia,0,33.93911,67.709953,-20.904305,165.618042
2020,Afghanistan,New Zealand,0,33.93911,67.709953,-40.900557,174.885971
2020,Afghanistan,Nicaragua,0,33.93911,67.709953,12.865416,-85.207229
2020,Afghanistan,Niger,0,33.93911,67.709953,17.607789,8.081666
2020,Afghanistan,Nigeria,0,33.93911,67.709953,9.081999,8.675277
2020,Afghanistan,Niue,0,33.93911,67.709953,-19.054445,-169.867233
2020,Afghanistan,North Korea,0,33.93911,67.709953,40.339852,127.510093
2020,Afghanistan,North Macedonia,0,33.93911,67.709953,41.608635,21.745275
2020,Afghanistan,Northern Mariana Islands,0,33.93911,67.709953,17.33083,145.38469
2020,Afghanistan,Norway,0,33.93911,67.709953,60.472024,8.468946
2020,Afghanistan,Oman,0,33.93911,67.709953,21.512583,55.923255
